SubjectID,Group,A_avg_cost_time,B_avg_cost_time,C_avg_cost_time,A_coarse_grained_total_time,B_coarse_grained_total_time,C_coarse_grained_total_time,A_fine_grained_total_time,B_fine_grained_total_time,C_fine_grained_total_time,A_total_key_presses,B_total_key_presses,C_total_key_presses,A_total_effective_key_presses,B_total_effective_key_presses,C_total_effective_key_presses,A_delete_proportion,B_delete_proportion,C_delete_proportion,A_interval_2000_15000,B_interval_2000_15000,C_interval_2000_15000,A_interval_15000_180000,B_interval_15000_180000,C_interval_15000_180000,A_interval_180000_600000,B_interval_180000_600000,C_interval_180000_600000,A_1_Moment,B_1_Moment,C_1_Moment,A_2_Moment,B_2_Moment,C_2_Moment,A_3_Moment,B_3_Moment,C_3_Moment,A_4_Moment,B_4_Moment,C_4_Moment,A_5_Moment,B_5_Moment,C_5_Moment,A_6_Moment,B_6_Moment,C_6_Moment,A_7_Moment,B_7_Moment,C_7_Moment,A_order_pair_1_Moment,B_order_pair_1_Moment,C_order_pair_1_Moment,A_order_pair_2_Moment,B_order_pair_2_Moment,C_order_pair_2_Moment,A_order_pair_3_Moment,B_order_pair_3_Moment,C_order_pair_3_Moment,A_order_pair_4_Moment,B_order_pair_4_Moment,C_order_pair_4_Moment,A_order_pair_5_Moment,B_order_pair_5_Moment,C_order_pair_5_Moment,A_order_pair_6_Moment,B_order_pair_6_Moment,C_order_pair_6_Moment,A_order_pair_7_Moment,B_order_pair_7_Moment,C_order_pair_7_Moment,A_grade,B_grade,C_grade,exam_avg
S001,Spring,64054.976744186046,64851.53274336282,14379.517058222676,2754364,73282232,70387736,2754364.0,73282232.0,70387736.0,44,1131,4896,27,140,2613,0.11363636363636365,0.4031830238726791,0.16299019607843138,10,136,516,5,35,63,0,3,1,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.0009844890606508102,0.0018607111502582715,0.0005389493158884789,0.00011712023629364373,0.0007317941171838527,5.537139241806491e-05,1.665272179115128e-05,0.0003083070209542852,7.830250322799015e-06,2.4282295769975613e-06,0.00013010646761730434,1.1789530651573456e-06,3.606498217626014e-07,5.491795071789249e-05,1.8362633488823467e-07,5.419545318326117e-08,2.3181331547364755e-05,2.9083555652166772e-08,0.00039999999999999996,0.00039999999999999996,0.0004,1.6486848989298454e-05,6.459525559132937e-05,6.807397524252354e-06,-5.160505167521108e-07,2.2415217203964587e-05,-4.2166454023054753e-07,2.7053659565465692e-08,9.03600204976257e-06,5.2263083300454114e-08,8.772334674976651e-10,3.4989361534668187e-06,4.436738063757821e-09,5.490863685372693e-11,1.356199683488669e-06,4.6336396866958007e-10,3.1232074105888942e-12,5.256547715767452e-07,4.73881513247461e-11,100.0,100.0,100.0,67.0
S002,Fall,1580.3502304147464,2534.205142857143,126608.80360531306,1028808,4434859,400337037,1028808.0,4434859.0,400337037.0,652,1751,3163,272,912,1472,0.23006134969325154,0.18446601941747573,0.20328801770471072,76,176,308,10,53,52,0,2,3,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.0007819076363047171,0.0005595320777037378,0.0006740961509352727,0.00013704056386939841,6.628401453487392e-05,9.493661144154362e-05,3.0258653219803268e-05,1.0972982297596824e-05,1.7193643469559963e-05,6.931696600207237e-06,1.9287597237028757e-06,3.2908453898868733e-06,1.6102031965353068e-06,3.46384881254365e-07,6.46227759534013e-07,3.759148345953001e-07,6.26094060404338e-08,1.2833006234897053e-07,0.0004,0.0004,0.0004,2.183954774153428e-05,9.817157299421824e-06,1.2301027324640171e-05,2.4935233156696256e-06,-5.059650962423619e-08,3.607782767458878e-07,6.846397741997784e-07,1.0990867193216964e-07,1.8487098548123162e-07,1.368125534745093e-07,1.2736723053311955e-08,2.5489950006550972e-08,2.7744166894874033e-08,1.6182397771677258e-09,3.70610666495386e-09,5.623367609635925e-09,2.0414476366290365e-10,5.36962919448169e-10,90.0,90.0,86.0,81.0
S004,Fall,54459.457142857136,15435.001000200042,27895.559886249586,232541882,77159570,166759657,232541882.0,77159570.0,166759657.0,4271,5000,5979,2813,2778,3468,0.12666822758136267,0.1676,0.12878407760495067,242,177,214,53,55,25,0,2,0,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.0003532026238970563,0.0005022860918327276,0.0004734776722239823,2.2238573664453285e-05,4.878802092704207e-05,4.0849460474245636e-05,2.2198331732077305e-06,6.8326277118483465e-06,4.717091742315351e-06,2.4027660988804227e-07,1.0346148333919678e-06,5.652773634849208e-07,2.730766756403541e-08,1.6199067496032135e-07,6.903212640894252e-08,3.166618228678738e-09,2.5664241829002377e-08,8.485206603104686e-09,0.0004,0.0004,0.0004,6.84189635317274e-06,9.62476414884162e-06,5.916878733262023e-06,-6.370812995712197e-07,1.7456159427638e-08,-5.6601044327286e-07,2.5345999032993224e-08,1.2184280003237638e-07,3.3866469950549215e-08,1.2766353271459255e-09,1.4667683905651865e-08,2.21709581047082e-09,1.0966650401387495e-10,1.9151668775262877e-09,2.0620931001801034e-10,8.753557398290034e-12,2.485130358204216e-10,1.8378229395894455e-11,100.0,100.0,98.0,77.0
S005,Fall,12350.068834688347,6495.758162994425,17426.266919671096,22785877,24469521,82652784,22785877.0,24469521.0,82652784.0,1846,3768,4744,864,2166,2677,0.200433369447454,0.15684713375796178,0.1614671163575042,115,177,207,25,65,53,2,1,5,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.0006429201749567459,0.00047587910626148124,0.00046263284550828343,9.077306926645675e-05,4.296476966394743e-05,4.561035062505179e-05,1.641745976298394e-05,5.454581409044196e-06,6.380355622998889e-06,3.1038758733382377e-06,7.492305477907783e-07,9.546878570828138e-07,6.000513839941808e-07,1.0743016240303736e-07,1.4710488661101267e-07,1.1727696386093541e-07,1.569997933531822e-08,2.2915175542764108e-08,0.0004,0.0004000000000000001,0.0004,1.1143435063488526e-05,5.860386668268671e-06,8.195777932732531e-06,2.8728394610796444e-07,-5.573811858075006e-07,-2.4436288220293064e-07,1.7062632322950367e-07,3.480318491218988e-08,7.854858189949605e-08,2.2960758089800446e-08,2.325678129470765e-09,8.015561944123961e-09,3.2708801323429057e-09,2.1790614043155348e-10,9.327708643806987e-10,4.6412827936278707e-10,1.9605634103657483e-11,1.0730376696862238e-10,95.0,100.0,100.0,90.0
S006,Spring,4163.950187969925,95511.424608624,105726.42510699002,4430443,347757097,370571120,4430443.0,347757097.0,370571120.0,1065,3642,3506,597,1754,1344,0.14553990610328638,0.19906644700713894,0.24900171135196805,117,329,442,23,95,147,0,12,11,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.0005167005044497271,0.0006226093503776042,0.0008063725643929052,4.8886752210694576e-05,8.243086862989656e-05,0.00015761213608771427,6.062064946466079e-06,1.473729999083785e-05,3.733290693612776e-05,7.809256990836914e-07,2.7826807824408493e-06,9.091268386290693e-06,1.0302043844278273e-07,5.363007723515962e-07,2.2363122806483785e-06,1.3758515899237036e-08,1.040875970313454e-07,5.520897144544527e-07,0.0004,0.0004,0.0004,6.464507924848791e-06,1.063958268648351e-05,1.6973174779777275e-05,-5.950599996022755e-07,2.6227827158332143e-07,1.7629491633676147e-06,3.072351769637918e-08,1.6523604841412796e-07,4.983788124064173e-07,1.8407159321592482e-09,2.2026395786404643e-08,9.162454491108517e-08,1.6623930261569383e-10,3.1123321877778316e-09,1.7158192363877058e-08,1.4265194809752112e-11,4.3798524820139196e-10,3.210085437525143e-09,100.0,100.0,100.0,72.0
S007,Spring,3409764.8461538465,111332.83844427824,0.0,44326943,297704010,0,44326943.0,297704010.0,0.0,14,2675,0,12,1303,0,0.07142857142857142,0.19514018691588786,0.0,6,287,0,3,67,0,0,2,0,0.009708737864077669,0.009708737864077669,0.0,0.009614478273164292,0.0005593809961732621,0.0,0.009427789374656251,7.489018583836633e-05,0.0,0.009337163695768851,1.3671033354377315e-05,0.0,0.009246502822443046,2.591096725742268e-06,0.0,0.009156731035803884,4.968509543880194e-07,0.0,0.009067830733656052,9.556885373233145e-08,0.0,0.0,0.0004,0.0,0.0,9.846372237448832e-06,0.0,-9.151416593531597e-07,1.1820430290682311e-07,0.0,8.884870479156886e-09,1.3853966605170035e-07,0.0,-8.626087843841636e-11,1.7433665770557735e-08,0.0,8.374842566836539e-13,2.3536173215501704e-09,0.0,-8.130915113433533e-15,3.1611238584896895e-10,0.0,95.0,100.0,0.0,83.0
S008,Spring,69161.34210526316,53139.6,2341151.011627907,2628131,2656980,201338987,2628131.0,2656980.0,201338987.0,39,51,87,15,27,42,0.28205128205128205,0.13725490196078433,0.19540229885057472,6,19,15,3,9,5,0,1,0,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.0017611880897770247,0.0015678763314167221,0.0010444195412932645,0.0004785324544312834,0.0003268554506294802,0.00017311520930941157,0.00016096982935781694,7.7353111203812e-05,3.47409899150642e-05,5.656344430811199e-05,1.8853108217459957e-05,7.263470845345987e-06,2.011132137598514e-05,4.7077826464479195e-06,1.5550579575177377e-06,7.1717806043207824e-06,1.1987021614921928e-06,3.3777872453540627e-07,0.00039999999999999996,0.0004,0.0004,4.6926801426872766e-05,2.7939173553719005e-05,2.0298553791887125e-05,5.5841052513862395e-06,7.837546819370947e-07,4.593404790548714e-07,1.2953889203948488e-06,1.7241484387531129e-07,1.6378918479696074e-07,2.7904218499824736e-07,1.7490718351458537e-08,1.888498999866431e-08,6.296383225440912e-08,2.006826947649534e-09,2.4069687400985306e-09,1.4430846120535372e-08,2.374395511949387e-10,3.112394910710304e-10,100.0,100.0,95.0,88.0
S009,Spring,852.6105527638191,162020.3284373725,1344.9037921348315,1018017,397111825,5745429,1018017.0,397111825.0,5745429.0,1195,2452,4273,643,1147,2778,0.15397489539748954,0.2128874388254486,0.10695062017318044,53,91,252,12,28,49,0,2,2,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.0005538292133290137,0.0006538784815552473,0.00039343491596490355,5.5239860747321906e-05,9.33015987603327e-05,2.6475660742347385e-05,7.289914667340337e-06,1.7936836946030952e-05,2.4269048125125334e-06,9.961218683131767e-07,3.6158079723946135e-06,2.3077920273746621e-07,1.3873347532725034e-07,7.398405880181576e-07,2.2646194348944016e-08,1.9496587316958382e-08,1.5200404702943008e-07,2.2579140847984794e-09,0.00039999999999999996,0.0004,0.0004,9.20214600259163e-06,1.5117422855426341e-05,4.946669534389108e-06,-1.3997401482599009e-07,1.3030904455735305e-06,-6.828220667902795e-07,9.625768110928957e-08,3.867882203042705e-07,2.1018931811364697e-08,1.0622463909110001e-08,6.632092657212794e-08,8.835632803481142e-10,1.3038844211109394e-09,1.164708715125384e-08,7.313940867852347e-11,1.586515840123463e-10,2.0427201105807267e-09,5.435853083312037e-12,100.0,100.0,100.0,87.0
S012,Fall,1178.6806358381502,1027.107874015748,12001.341787439611,4078235,3913281,39748444,4078235.0,3913281.0,39748444.0,3461,3811,3313,1976,2218,1697,0.15169026292978907,0.14536866964051431,0.17627527920313915,172,227,235,40,43,27,0,1,2,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.00044848779666689214,0.0004304877501552297,0.0005379466280724273,3.8870785412069724e-05,3.9269085314224645e-05,6.538287217740127e-05,4.836444904385144e-06,4.802904008685862e-06,1.0596501571666252e-05,6.469589237613354e-07,6.147724781560597e-07,1.7986344247364456e-06,8.989336251510595e-08,8.08601945153373e-08,3.121705651345603e-07,1.2704219574952579e-08,1.0796303496423137e-08,5.4752081766045456e-08,0.0004,0.0004,0.0004000000000000001,5.547307880871383e-06,6.066651981799689e-06,8.153793625305377e-06,-5.690849187342075e-07,-4.972805776038842e-07,-1.8697029482119357e-07,3.322778237258556e-08,4.1672581475564604e-08,8.699842891023476e-08,2.1515919749030505e-09,3.1297655201816786e-09,9.259674939334177e-09,1.991637115151694e-10,3.0766893946896625e-10,1.1071440262743342e-09,1.7645412979104067e-11,2.935890074831821e-11,1.3107634169251639e-10,95.0,100.0,100.0,75.0
S014,Spring,1499.0157342657342,44630.95965189873,0.0,1714874,112827066,0,1714874.0,112827066.0,0.0,1145,2529,0,449,1027,0,0.2410480349344978,0.2617635429023329,0.0,105,370,0,20,127,0,1,9,0,0.009708737864077669,0.009708737864077669,0.0,0.0008021633830790144,0.0008354769118156626,0.0,0.00014153649231584496,0.00018879858694983713,0.0,3.117566590993778e-05,5.014692249128923e-05,0.0,7.133828400588716e-06,1.3418987633247951e-05,0.0,1.6584843728542445e-06,3.5953942097926225e-06,0.0,3.8806909122007223e-07,9.634592789198867e-07,0.0,0.0004,0.0004,0.0,1.3859247404844288e-05,1.3250475986030181e-05,0.0,9.362423649101685e-07,8.172525075379381e-07,0.0,3.0419480813953846e-07,2.779014814591412e-07,0.0,4.872657540575296e-08,4.3374442341086e-08,0.0,8.050048842565991e-09,7.002708613687862e-09,0.0,1.3275090387468956e-09,1.1282595478231554e-09,0.0,100.0,95.0,0.0,54.0
